TeamId,Team,SeasonsPlayed,GamesPlayed,Wins,Losses,Draws,Points,PointsPerGame,Relegations,Titles
1,Fulham,15,538,158,241,139,613.0,1.1502923976608188,3,0
2,Crystal Palace,13,462,148,195,119,563.0,1.2692307692307692,0,0
3,Liverpool,21,766,442,142,182,1508.0,1.9899749373433584,0,3
4,West Ham,20,728,240,311,177,897.0,1.2083333333333335,2,0
5,West Brom,11,418,105,198,115,430.0,1.0287081339712918,4,0
6,Tottenham,21,766,377,221,168,1299.0,1.7013366750208856,0,0
7,Brighton,9,310,96,114,100,388.0,1.2592592592592593,0,0
8,Sheffield United,4,152,34,89,29,131.0,0.8618421052631579,2,0
9,Everton,21,766,289,257,220,1087.0,1.4156223893065998,0,0
10,Leeds,4,120,36,56,28,136.0,1.1754385964912282,1,0
11,Man United,21,766,443,162,161,1490.0,1.9139515455304927,0,6
12,Arsenal,21,766,428,167,171,1455.0,1.9101921470342524,0,0
13,Southampton,12,456,132,207,117,513.0,1.125,2,0
14,Newcastle,19,690,239,283,168,885.0,1.2700831024930748,2,0
15,Chelsea,21,766,437,157,172,1483.0,1.911862990810359,0,4
16,Leicester,10,380,140,156,84,504.0,1.3263157894736843,2,1
17,Aston Villa,18,652,219,256,177,834.0,1.2660818713450293,1,0
18,Wolves,11,386,119,179,88,445.0,1.0773524720893142,2,0
19,Burnley,10,348,89,173,86,353.0,0.9850877192982456,5,0
20,Man City,21,766,463,169,134,1523.0,1.9753550543024228,0,7
21,Bournemouth,9,310,98,141,71,365.0,1.2387914230019494,1,0
22,Brentford,5,158,56,63,39,207.0,1.2859649122807018,0,0
23,Nott'm Forest,4,120,38,52,30,144.0,1.1228070175438596,0,0
24,Ipswich,1,38,4,24,10,22.0,0.5789473684210527,1,0
25,Blackburn,7,266,91,110,65,338.0,1.2706766917293233,1,0
26,QPR,3,114,22,66,26,92.0,0.8070175438596491,2,0
27,Wigan,8,304,85,143,76,331.0,1.088815789473684,2,0
28,Stoke,10,380,116,155,109,457.0,1.2026315789473685,1,0
29,Sunderland,12,424,101,211,112,415.0,1.0387426900584795,2,0
30,Swansea,7,266,82,118,66,312.0,1.1729323308270678,1,0
31,Bolton,7,266,83,121,62,311.0,1.169172932330827,1,0
32,Norwich,6,228,49,125,54,201.0,0.8815789473684211,4,0
33,Watford,7,266,67,139,60,261.0,0.981203007518797,3,0
34,Hull,5,190,41,101,48,171.0,0.9,3,0
35,Cardiff,2,76,17,46,13,64.0,0.8421052631578947,2,0
36,Derby,1,38,1,29,8,11.0,0.2894736842105263,1,0
37,Middlesbrough,5,190,46,89,55,193.0,1.0157894736842104,2,0
38,Birmingham,4,152,37,68,47,158.0,1.0394736842105263,3,0
39,Portsmouth,5,190,57,86,47,218.0,1.1473684210526316,1,0
40,Reading,3,114,32,59,23,119.0,1.0438596491228072,2,0
41,Blackpool,1,38,10,19,9,39.0,1.0263157894736843,1,0
42,Huddersfield,2,76,12,47,17,53.0,0.6973684210526316,1,0
43,Luton,1,38,6,24,8,26.0,0.6842105263157895,1,0
44,Charlton,2,76,21,37,18,81.0,1.0657894736842106,1,0
